"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$ s foi adicionado à sua lista de pedidos. Clique <a href=""%2$s""> aqui</a> para continuar comprando."
"%1$s has been updated in your wishlist.","%1$s foi atualizado em sua lista de favoritos."
"%d product(s) have been added to shopping cart: %s.","%d produto(s) foi adicionado ao carrinho de compras: %s."
"%s for ""%s"".","%s for ""%s""."
"%s has been moved to wishlist %s","%s foi movido para wishlist %s"
"%s's Wishlist","%s's Favoritos"
"* Required Fields","* Campos Obrigatórios"
"Add All to Cart","Adicionar Tudo ao Carrinho"
"Add to Cart",Comprar
"Add to Compare","Adicionar a Comparação"
"Add to Wishlist","Adicionar &agrave; Lista"
"Added From","Adicionado Por"
"An error occurred while adding item to wishlist.","Ocorreu um erro ao tentar adicionar um item a lista."
"An error occurred while adding item to wishlist: %s","Ocorreu um erro ao tentar adicionar um item a lista: %s"
"An error occurred while deleting the item from wishlist.","Ocorreu um erro ao tentar excluir um item da lista."
"An error occurred while deleting the item from wishlist: %s","Ocorreu um erro ao tentar excluir um item da lista: %s"
"An error occurred while updating wishlist.","Ocorreu um erro ao atualizar a lista de favoritos."
"Are you sure you want to remove this product from your wishlist?","Tem certeza que deseja excluir este produto dos favoritos?"
"Are you sure you would like to remove this item from the wishlist?","Tem certeza que deseja excluir este item dos favoritos?"
Back,Voltar
"Can\'t delete item from wishlist","Não foi possível apagar o item da lista de favoritos"
"Can\'t save description %s","Descrição não foi salva %s"
"Can\'t update wishlist","Não foi possível atualizar a lista"
"Cannot add item to shopping cart","Não foi possível adicionar o item ao carrinho de compras"
"Cannot add the item to shopping cart.","Não foi possível adicionar o item ao carrinho de compras."
"Cannot configure product","Não foi possível configurar produto"
"Cannot load wishlist item","Não foi possível carregar a lista de itens dos favoritos"
"Cannot move item to wishlist","Não é possível mover o item à lista de desejos"
"Cannot specify product.","Produto não especificado."
"Cannot specify wishlist item.","Não foi possível especificar o item da lista de favoritos."
"Cannot specify wishlist.","Favoritos não especificado."
"Cannot update wishlist","Não foi possível atualizar a lista"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Marque este checkbox se você deseja adicionar um link para uma lista rss dos favoritos."
"Click for price","Clique para o preço"
Comment,Comentário
Comment:,Comentário:
"Configure Wishlist Item","Configurar Item dos Favoritos"
"Configured Price:","Preço Configurado:"
"Could not find wishlist","Não foi possível localizar a lista de desejos"
"Customer My Account My Wishlist","Cliente Minha Conta Favoritos"
"Customer My Account Wishlist Sharing Form","Cliente Minha Conta Favoritos Compartilhar Formulário"
"Customer Shared Wishlist View","Cliente Compartilhar Visualização de Favoritos"
"Date Added","Adicionado na Data"
"Days in Wishlist","Dias na Lista"
"Display Wishlist Summary","Exibir Resumo dos Favoritos"
Edit,Editar
"Email Sender","Remetente de Email"
"Email Template","Modelo de Email"
"Email address can\'t be empty.","Endereço de Email não pode ficar em branco."
"Email addresses, separated by commas","Endereços de Email, separados por vírgula"
Enabled,Habilitado
"General Options","Opções Gerais"
"Go to Wishlist","Ver Todos"
"Helper for wishlist options rendering doesn't implement required interface.","Helper para opções de renderização da lista de favoritos não precisa implementar uma interface."
"In stock","Em estoque"
"Last Added Items","Últimos Itens Adicionados"
Message,Mensagem
"My Wishlist","Meus Favoritos"
"My Wishlist (%d item)","Favorito (%d item)"
"My Wishlist (%d items)","Favoritos (%d itens)"
"My Wishlist <small>(%d)</small>","Favoritos <small>(%d)</small>"
"My Wishlist Link","Link dos Meus Favoritos"
"Options Details","Opções Detalhadas"
"Out of stock",Esgotado
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor digite um endereço de email válido, separados por vírgulas. Exemplo johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","Por favor informe um endereço de email válido."
"Please, enter your comments...","Faça seus comentários..."
Product,Produto
"Product Details and Comment","Comentário e detalhes do produto"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Produto(s) %s tem opções obrigatórias. Cada um deles pode ser adicionado separadamente no carrinho."
"RSS Feed","Lista RSS"
"RSS link to %s's wishlist","RSS aponta para %s's favoritos"
"Remove Item","Excluir Item"
"Remove This Item","Excluir Este Item"
"Remove item","Excluir item"
"Requested cart item doesn't exist","Item de carrinho solicitado não existe"
"Requested wishlist doesn't exist","Wishlist solicitado não existe"
"Share Options","Opções de Compartilhamento"
"Share Wishlist","Compartilhar Lista"
"Share Your Wishlist","Compartilhe seus Favoritos"
"Sharing Information","Compartilhar Informações"
"This Wishlist has no Items","Esta lista de desejos não tem nenhum item"
"This product(s) is currently out of stock","Estes produto(s) estão temporariamente sem estoque"
"Unable to add the following product(s) to shopping cart: %s.","Não foi possível adicionar os seguintes produto(s) ao carrinho de compras: %s."
"Update Wishlist","Atualizar Lista"
"User description","Descrição do Usuário"
"View Details","Visualizar Detalhes"
"View Product","Ver Produto"
"What's this?","O que é isso?"
Wishlist,Favoritos
"Wishlist Section","Seção Favoritos"
"Wishlist Sharing","Compartilhando Lista"
"Wishlist could not be created.","Não foi possível criar a lista de desejos."
"Wishlist is empty now.","Favoritos vazia."
"You have no items in your wishlist.","Você não possui nenhum produto favorito."
"Your Wishlist has been shared.","Seus Favoritos foi compartilhada com sucesso."
