ALL,TODAS
ANY,QUALQUER
Add,Adicionar
Apply,Aplicar
"Conditions Combination","Combinação de Condições"
"Customer Groups must be specified.","Grupos de clientes devem ser especificados."
"End Date must be greater than Start Date.","Data de fim deve ser maior que data de início."
FALSE,FALSA
"If %s of these conditions are %s:","Se %s condições forem %s:"
"Invalid discount amount.","Total do desconto inválido."
"Open Chooser","Abrir Escolha"
"Perform following actions","Executar ações seguintes"
"Please choose a condition to add...","Selecionar condição..."
"Please choose an action to add...","Selecionar ação..."
Remove,Excluir
TRUE,VERDADEIRA
"Websites must be specified.","Sites devem ser especificados."
by,por
contains,contém
"does not contain","não contém"
"equals or greater than","igual ou maior que"
"equals or less than","igual ou menor que"
"greater than","maior que"
is,é
"is not","não é"
"is not one of","não é um dos"
"is one of","é um dos"
"less than","menor que"
to,para
